harvest_order,type,location_name,trial_name,plot_number,plot_name,accession_name,entry_number,seedlot_name,row_number,col_number,rep_number,block_number,is_a_control
132,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,374,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_374,TX18OCS9125,,,14,10,10,10,
133,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,373,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_373,TX18OCS9125,,,14,11,10,10,
134,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,344,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_344,NF12AS-108-4_4,,,13,11,10,10,
135,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,158,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_158,TX19CAS0057,,,12,11,5,5,
136,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,151,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_151,NF13-4124-4_8,,,11,11,5,5,
137,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,130,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_130,NC20-4526,,,10,11,5,5,
138,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,123,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_123,Clav 7618,,,9,11,4,4,
139,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,102,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_102,FLLA17069-54,,,8,11,4,4,
140,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,95,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_95,NF99401_1-1,,,7,11,4,4,
141,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,74,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_74,FLLA17069-65,,,6,11,3,3,
142,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,67,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_67,NF12AS-122-4_3,,,5,11,3,3,
143,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,46,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_46,NC19-3542,,,4,11,3,3,
144,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,39,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_39,LA08039SBSBS-56-A1,,,3,11,2,2,
145,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,18,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_18,NO_OATS_PLANTED,,,2,11,2,2,
146,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,11,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_11,NO_OATS_PLANTED,,,1,11,2,2,
147,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,12,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_12,NO_OATS_PLANTED,,,1,12,2,2,
148,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,17,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_17,NO_OATS_PLANTED,,,2,12,2,2,
149,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,40,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_40,LA08039SBSBS-56-A1,,,3,12,2,2,
150,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,45,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_45,NC19-3542,,,4,12,3,3,
151,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,68,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_68,NF12AS-122-4_3,,,5,12,3,3,
152,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,73,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_73,FLLA17069-65,,,6,12,3,3,
153,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,96,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_96,NF99401_1-1,,,7,12,4,4,
154,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,101,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_101,FLLA17069-54,,,8,12,4,4,
155,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,124,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_124,Clav 7618,,,9,12,4,4,
156,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,129,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_129,NC20-4526,,,10,12,5,5,
157,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,152,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_152,NF13-4124-4_8,,,11,12,5,5,
158,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,157,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_157,TX19CAS0057,,,12,12,5,5,
159,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,345,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_345,NF13-4083-4_6,,,13,12,10,10,
160,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,372,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_372,NF97405B2,,,14,12,10,10,
161,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,371,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_371,NF97405B2,,,14,13,10,10,
162,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,346,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_346,NF13-4083-4_6,,,13,13,10,10,
163,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,156,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_156,NF13-4214-4_1,,,12,13,5,5,
164,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,153,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_153,NF12AS-122-4_4,,,11,13,5,5,
165,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,128,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,NC21-6492,,,10,13,5,5,
166,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,125,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_125,Horizon 578,,,9,13,4,4,
167,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,100,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_100,NC21-6610,,,8,13,4,4,
168,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,97,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_97,NC20-4452,,,7,13,4,4,
169,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,72,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_72,TX18OCS9100,,,6,13,3,3,
170,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,69,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_69,Gerard 227,,,5,13,3,3,
171,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,44,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_44,Savage,,,4,13,3,3,
172,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,41,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_41,NO_OATS_PLANTED,,,3,13,2,2,
173,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,16,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_16,NC21-6429,,,2,13,2,2,
174,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,13,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_13,OKAY,,,1,13,2,2,
175,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,14,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_14,OKAY,,,1,14,2,2,
176,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,15,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_15,NC21-6429,,,2,14,2,2,
177,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,42,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_42,NO_OATS_PLANTED,,,3,14,2,2,
178,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,43,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_43,Savage,,,4,14,3,3,
179,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,70,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_70,Gerard 227,,,5,14,3,3,
180,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,71,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_71,TX18OCS9100,,,6,14,3,3,
181,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,98,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_98,NC20-4452,,,7,14,4,4,
182,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,99,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_99,NC21-6610,,,8,14,4,4,
183,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,126,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_126,Horizon 578,,,9,14,4,4,
184,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,127,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_127,NC21-6492,,,10,14,5,5,
185,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,154,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_154,NF12AS-122-4_4,,,11,14,5,5,
186,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,155,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_155,NF13-4214-4_1,,,12,14,5,5,
187,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,347,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_347,NC20-4795,,,13,14,10,10,
188,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,370,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_370,NF13-4173-4_4,,,14,14,10,10,
189,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,369,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_369,NF13-4173-4_4,,,14,15,10,10,
190,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,348,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_348,NC20-4795,,,13,15,10,10,
191,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,336,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_336,Savage,,,12,15,9,9,
192,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,309,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_309,SCLA17018SBSS-45-1,,,11,15,9,9,
193,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,308,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_308,SCLA17031SBSS-4-1,,,10,15,9,9,
194,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,281,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_281,Horizon 578,,,9,15,8,8,
195,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,280,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_280,TX19CAS0058,,,8,15,8,8,
196,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,253,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_253,NF12AS-91-4_1,,,7,15,8,8,
197,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,252,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_252,NF12AS-108-4_4,,,6,15,7,7,
198,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,225,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_225,LA15015SB-S50,,,5,15,7,7,
199,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,224,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_224,LA17089SBS-45-1-1,,,4,15,7,7,
200,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,197,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_197,NF12AS-107-4_2-1,,,3,15,6,6,
201,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,196,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_196,LA17069SBSS-2-1,,,2,15,6,6,
202,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,169,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_169,NF13-4214-4_5,,,1,15,6,6,
203,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,170,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_170,NF13-4214-4_5,,,1,16,6,6,
204,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,195,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_195,LA17069SBSS-2-1,,,2,16,6,6,
205,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,198,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_198,NF12AS-107-4_2-1,,,3,16,6,6,
206,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,223,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_223,LA17089SBS-45-1-1,,,4,16,7,7,
207,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,226,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_226,LA15015SB-S50,,,5,16,7,7,
208,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,251,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_251,NF12AS-108-4_4,,,6,16,7,7,
209,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,254,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_254,NF12AS-91-4_1,,,7,16,8,8,
210,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,279,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_279,TX19CAS0058,,,8,16,8,8,
211,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,282,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_282,Horizon 578,,,9,16,8,8,
212,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,307,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_307,SCLA17031SBSS-4-1,,,10,16,9,9,
213,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,310,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_310,SCLA17018SBSS-45-1,,,11,16,9,9,
214,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,335,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_335,Savage,,,12,16,9,9,
215,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,349,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_349,NF13-4124-4_3,,,13,16,10,10,
216,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,368,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_368,NC21-6511,,,14,16,10,10,
217,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,367,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_367,NC21-6511,,,14,17,10,10,
218,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,350,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_350,NF13-4124-4_3,,,13,17,10,10,
219,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,334,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_334,NF13-4157-4_2,,,12,17,9,9,
220,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,311,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_311,NO_OATS_PLANTED,,,11,17,9,9,
221,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,306,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_306,NC17-6440,,,10,17,9,9,
222,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,283,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_283,NF97405-1,,,9,17,8,8,
223,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,278,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_278,NO_OATS_PLANTED,,,8,17,8,8,
224,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,255,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_255,NF12AS-100-4_2,,,7,17,8,8,
225,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,250,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_250,Gerard 227,,,6,17,7,7,
226,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,227,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_227,NF12AS-100-4_2,,,5,17,7,7,
227,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,222,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_222,NO_OATS_PLANTED,,,4,17,7,7,
228,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,199,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_199,HORIZON201,,,3,17,6,6,
229,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,194,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_194,FLLA17088-61,,,2,17,6,6,
230,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,171,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_171,NC09-4503N,,,1,17,6,6,
231,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,172,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_172,NC09-4503N,,,1,18,6,6,
232,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,193,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_193,FLLA17088-61,,,2,18,6,6,
233,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,200,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_200,HORIZON201,,,3,18,6,6,
234,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,221,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_221,NO_OATS_PLANTED,,,4,18,7,7,
235,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,228,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_228,NF12AS-100-4_2,,,5,18,7,7,
236,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,249,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_249,Gerard 227,,,6,18,7,7,
237,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,256,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_256,NF12AS-100-4_2,,,7,18,8,8,
238,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,277,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_277,NO_OATS_PLANTED,,,8,18,8,8,
239,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,284,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_284,NF97405-1,,,9,18,8,8,
240,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,305,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_305,NC17-6440,,,10,18,9,9,
241,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,312,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_312,NO_OATS_PLANTED,,,11,18,9,9,
242,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,333,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_333,NF13-4157-4_2,,,12,18,9,9,
243,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,351,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_351,FLLA16083-25,,,13,18,10,10,
244,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,366,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_366,NO_OATS_PLANTED,,,14,18,10,10,
245,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,365,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_365,NO_OATS_PLANTED,,,14,19,10,10,
246,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,352,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_352,FLLA16083-25,,,13,19,10,10,
247,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,332,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_332,NO_OATS_PLANTED,,,12,19,9,9,
248,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,313,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_313,LA17129SBSS-8-1,,,11,19,9,9,
249,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,304,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_304,NO_OATS_PLANTED,,,10,19,9,9,
250,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,285,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_285,NF00407,,,9,19,8,8,
251,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,276,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_276,NF18,,,8,19,8,8,
252,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,257,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_257,NF12AS-107-4_2-1,,,7,19,8,8,
253,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,248,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_248,NC20-4700,,,6,19,7,7,
254,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,229,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_229,NO_OATS_PLANTED,,,5,19,7,7,
255,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,220,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_220,NF13-4214-4_1,,,4,19,7,7,
256,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,201,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_201,PA7617-3658,,,3,19,6,6,
257,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,192,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_192,NC20-4702,,,2,19,6,6,
258,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,173,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_173,NF99414-1,,,1,19,6,6,
259,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,174,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_174,NF99414-1,,,1,20,6,6,
260,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,191,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_191,NC20-4702,,,2,20,6,6,
261,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,202,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_202,PA7617-3658,,,3,20,6,6,
262,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,219,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_219,NF13-4214-4_1,,,4,20,7,7,
